PPI,Porosity,Re,Dh,f,Nu
30,0.85,1300,0.00375,8.88567,115.119
10,0.9,900,0.0042,3.01842,77.9925
30,0.8,500,0.005,25.4383,92.429
40,0.95,900,0.005,22.04,72.5802
20,0.95,900,0.005217,9.22394,71.241
30,0.8,300,0.00375,22.88,77.8635
30,0.95,1100,0.003,7.37307,68.9423
30,0.95,1300,0.0042,10.6453,82.3878
20,0.95,100,0.005,27.5472,25.0957
10,0.8,1500,0.005217,2.99443,133.277
50,0.98,1100,0.004615,22.5267,59.7255
20,0.9,1100,0.005,8.18744,96.576
20,0.95,700,0.005357,10.2964,62.916
20,0.98,900,0.004615,7.12939,53.7268
10,0.9,700,0.00375,2.8175,67.4031
30,0.95,1300,0.005217,13.9337,88.0584
50,0.85,300,0.0042,61.0524,66.4053
30,0.9,700,0.005455,19.6368,82.0912
50,0.95,500,0.0042,31.8525,52.5278
30,0.85,1300,0.0042,10.3836,118.721
30,0.85,900,0.004615,14.1302,103.455
30,0.85,1100,0.004615,12.7821,113.087
40,0.8,700,0.004615,28.4441,107.348
40,0.8,500,0.005,42.3284,93.664
40,0.95,1100,0.0042,16.1219,75.8587
20,0.98,1300,0.0042,5.85553,66.2481
10,0.95,500,0.005357,4.67798,49.0262
10,0.98,500,0.005455,4.28673,37.867
50,0.9,500,0.005357,53.8767,71.3806
30,0.98,1500,0.005217,12.0243,74.7781
20,0.85,1100,0.004615,7.21451,109.301
10,0.95,900,0.0042,3.19223,65.2944
40,0.9,700,0.005455,30.7337,83.3501
30,0.9,300,0.004615,25.292,54.2398
20,0.98,900,0.00375,5.55789,51.4056
20,0.95,1500,0.005357,8.45386,95.1754
30,0.9,500,0.003,9.69497,63.2896
40,0.9,700,0.005217,28.6584,82.4195
50,0.9,100,0.005357,208.44,34.0425
40,0.95,1500,0.00375,12.7497,85.4253
10,0.8,100,0.005217,13.9717,43.8013
20,0.8,1500,0.0042,5.58592,138.32
10,0.9,1300,0.005357,3.67243,100.202
40,0.85,300,0.0042,40.8082,65.9463
30,0.95,700,0.005357,17.9623,64.6405
30,0.9,1100,0.004615,12.6297,97.1073
40,0.95,300,0.005357,45.5179,43.4315
40,0.9,900,0.005455,26.6611,93.9708
5,0.98,1500,0.004615,1.41466,87.8005
10,0.98,500,0.003,2.25139,35.3855
40,0.9,300,0.004615,41.2755,55.0076
5,0.9,1500,0.004615,1.45793,103.915
10,0.9,900,0.004615,3.34587,79.3691
40,0.8,300,0.005217,70.2722,74.9591
30,0.9,500,0.005357,23.1035,69.7426
30,0.9,300,0.004615,25.292,54.2398
10,0.9,1500,0.005357,3.58961,108.939
40,0.8,300,0.005,64.9355,75.2571
10,0.98,700,0.005,3.58545,45.7687
5,0.85,1300,0.005217,1.47737,101.022
10,0.98,100,0.005217,8.52369,16.8611
5,0.95,500,0.005357,2.0615,44.4812
50,0.85,1100,0.005217,33.9798,119.704
20,0.9,1300,0.004615,7.0741,102.538
10,0.85,1100,0.005357,3.53142,103.544
30,0.9,1100,0.005217,14.9318,100.672
20,0.95,300,0.005455,15.2866,41.5742
30,0.98,1500,0.005455,12.7123,75.7594
5,0.98,300,0.005357,2.0436,26.232
50,0.95,300,0.00375,36.5692,41.0431
30,0.95,1100,0.005217,14.6506,80.7035
10,0.85,1500,0.005217,3.18786,120.695
5,0.8,300,0.005217,2.13683,56.8605
10,0.8,1700,0.00375,1.99306,131.857
10,0.95,300,0.0042,4.13894,36.6719
10,0.98,100,0.005,8.0266,16.813
10,0.85,1100,0.0042,2.67365,98.2248
5,0.9,1100,0.0042,1.3788,83.2232
30,0.9,900,0.005455,17.3412,92.5882
30,0.9,500,0.005217,22.1654,69.3704
30,0.95,1100,0.005,13.8684,79.6467
30,0.85,1100,0.004615,12.7821,113.087
10,0.8,500,0.005,4.31104,81.1906
5,0.85,700,0.005,1.5802,71.5486
10,0.95,1100,0.004615,3.42105,75.1295
50,0.95,700,0.005,34.5377,64.5738
10,0.9,1300,0.005357,3.67243,100.202
10,0.9,1300,0.004615,3.12801,97.2689
40,0.95,1700,0.0042,14.2162,94.4585
40,0.85,700,0.005217,31.5977,96.4099
40,0.85,1100,0.0042,17.0569,112.112
5,0.9,500,0.004615,1.70375,52.6553
10,0.98,1100,0.00375,2.4553,61.6664
10,0.85,300,0.0042,4.2885,57.3885
10,0.85,700,0.00375,2.65041,78.3045
30,0.8,300,0.0042,27.9457,76.1509
20,0.95,1300,0.00375,5.76868,80.1603
5,0.95,900,0.004615,1.66985,65.0729
20,0.9,900,0.004615,7.88329,85.7987
10,0.8,1300,0.005357,3.21713,125.19
20,0.98,900,0.00375,5.55789,51.4056
20,0.95,300,0.005217,14.3255,41.2247
30,0.98,1100,0.003,6.60017,53.9737
30,0.85,300,0.004615,28.9459,64.8991
30,0.8,900,0.00375,10.7892,113.406
30,0.9,1500,0.003,6.64429,99.1957
30,0.9,900,0.005455,17.3412,92.5882
30,0.95,300,0.005,25.3017,42.2013
10,0.8,1300,0.0042,2.41294,118.539
5,0.85,300,0.004615,1.8691,49.0789
30,0.98,700,0.00375,10.015,44.3858
40,0.98,1100,0.0042,14.5501,58.2046
10,0.85,500,0.005357,4.63798,71.8861
30,0.9,1500,0.005,12.6022,115.468
50,0.95,900,0.005455,34.5676,75.0405
20,0.85,300,0.005,16.4964,63.0753
40,0.8,300,0.005455,76.3331,74.7015
40,0.8,1500,0.005357,21.9738,155.145
20,0.98,300,0.00375,8.21079,28.4969
5,0.95,700,0.005217,1.91956,54.7032
5,0.9,700,0.005217,1.79585,63.9359
20,0.85,300,0.004615,14.4794,63.0448
50,0.85,1100,0.0042,24.0574,113.067
20,0.9,1300,0.0042,6.31103,99.9641
40,0.95,1100,0.004615,18.2729,78.1624
50,0.9,100,0.005357,208.44,34.0425
40,0.85,1100,0.00375,14.4035,108.976
30,0.85,1300,0.005357,14.6609,127.222
30,0.9,1100,0.005217,14.9318,100.672
40,0.85,1500,0.00375,12.5018,124.162
40,0.85,100,0.00375,85.6259,49.286
20,0.8,700,0.0042,7.92338,100.883
20,0.95,900,0.0042,7.09419,67.3318
30,0.9,500,0.005,20.7422,68.7866
40,0.9,500,0.0042,24.9028,67.5832
20,0.8,300,0.0042,13.7461,74.019
50,0.85,700,0.005357,48.3146,97.7144
40,0.85,500,0.005217,40.1887,82.7043
20,0.9,1500,0.005455,8.36079,115.729
30,0.95,300,0.0042,19.2994,40.9108
30,0.9,1700,0.004615,10.951,119.636
10,0.9,1300,0.003,1.98672,91.9729
10,0.8,900,0.0042,2.69274,100.751
40,0.9,1700,0.005,17.7314,124.039
30,0.95,900,0.005357,16.2508,73.3926
10,0.9,500,0.005217,4.51111,61.1245
50,0.85,1100,0.00375,20.1783,109.899
30,0.95,1300,0.005455,14.7401,89.3138
50,0.8,100,0.0042,195.987,55.8932
30,0.85,1300,0.005455,15.049,127.892
10,0.9,300,0.00375,3.6662,47.2295
5,0.95,500,0.004615,1.8026,43.9014
40,0.95,700,0.003,12.0776,55.7803
30,0.9,100,0.005357,78.9135,33.5641
10,0.85,300,0.00375,3.69763,57.3827
20,0.85,1500,0.00375,5.00025,119.44
30,0.85,1300,0.004615,11.8485,121.89
20,0.95,100,0.00375,17.2478,25.8636
30,0.9,900,0.005,15.3167,90.3735
50,0.8,1300,0.003,13.7033,128.069
30,0.9,300,0.005357,32.4074,55.0329
30,0.85,500,0.005217,24.5451,81.5286
5,0.85,900,0.004615,1.39107,80.5409
20,0.9,1100,0.005,8.18744,96.576
30,0.8,700,0.00375,12.518,103.252
40,0.85,900,0.005217,26.8246,108.197
10,0.95,1700,0.005,3.53518,102.331
20,0.95,300,0.005,13.469,40.9031
50,0.95,1300,0.005,25.962,87.4481
30,0.8,900,0.00375,10.7892,113.406
50,0.95,1300,0.003,13.2413,73.912
10,0.9,1500,0.00375,2.4603,102.623
20,0.9,900,0.003,4.61815,77.6994
20,0.95,900,0.005217,9.22394,71.241
20,0.85,1500,0.003,3.81403,113.17
40,0.85,500,0.005,37.3425,82.2355
40,0.9,300,0.005,47.3976,55.4074
5,0.85,700,0.005,1.5802,71.5486
50,0.95,900,0.004615,27.0715,71.1104
20,0.95,1500,0.005217,8.19942,94.4902
5,0.95,300,0.00375,1.66118,32.8929
40,0.95,700,0.005455,28.0651,65.8306
10,0.9,500,0.005,4.28789,60.618
5,0.9,500,0.005357,1.96139,53.7062
5,0.85,1500,0.00375,1.05822,108.577
40,0.8,1700,0.005,18.3883,161.014
30,0.85,900,0.005217,17.0106,106.512
30,0.85,100,0.004615,73.3623,42.8536
20,0.95,1500,0.004615,7.12426,91.4926
40,0.98,100,0.00375,53.5327,18.5813
10,0.9,1500,0.00375,2.4603,102.624
10,0.8,500,0.0042,3.41044,79.982
40,0.85,1500,0.003,9.19401,116.661
10,0.9,1500,0.0042,2.77137,104.256
10,0.8,1500,0.00375,2.04735,124.032
10,0.85,300,0.003,2.79597,57.0959
20,0.9,300,0.00375,9.62481,51.8758
10,0.9,300,0.005,5.22804,48.4679
30,0.9,1300,0.005217,14.0039,109.152
10,0.9,700,0.005,3.88196,70.9783
30,0.98,1700,0.005217,11.6427,80.6063
5,0.98,1700,0.00375,1.15661,103.669
5,0.98,1700,0.005217,1.57033,96.8255
10,0.95,500,0.005357,4.67798,49.0241
50,0.8,500,0.0042,46.2706,93.7578
